Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,"Product Material Colour (tube, jar etc.)",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Foil,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments
19934_1,,,,0,,,Dr.Moosa Desai,Dr D Day Cream 30ml,Digital Laminate,C25LTDRD002F (Add),W00238126,C25LTDRD002F (Add),Wayne,x,DIGITAL,ABL Silver,,,,,,,,Repeat,Repeat,,ABL Silver,25,100,,,25A (PP H510_02),25A (11/25),,4,,,,,,,,,,,,,,,,,,500,WAYNE 17.09.24  WAYNE 17.09.24,,x,Repeat,,,,,,,,
19934_2,,,,0,,,Dr.Moosa Desai,Dr D Day Cream 30ml,Digital Laminate,C25LTDRD002F (Add 1),W00245621,C25LTDRD002F (Add 1),Wayne,x,DIGITAL,ABL Silver,,,,,,,,Repeat,Repeat,,ABL Silver,25,100,,,25A (PP H510_02),25A (11/25),,4,,,,,,,,,,,,,,,,,,5600,WAYNE 17.09.24  WAYNE 17.09.24,,x,Repeat,,,,,,,,
19935_1,,,,0,,,Dr.Moosa Desai,Dr D Night Cream 30ml,Digital Laminate,C25LTDRD003F (Add),W00245619,C25LTDRD003F (Add),Wayne,x,DIGITAL,ABL Silver,,,,,,,,Repeat,Repeat,,ABL Silver,25,100,,,25A (PP H510_02),25A (11/25),,4,,,,,,,,,,,,,,,,,,5600,WAYNE 21/25,,x,Repeat,,,,,,,,
19937_1,,,,0,,,Dr.Moosa Desai,Dr D Strong Acne Night Cream 30ml,Digital Laminate,C25LTDRD004F (Add),W00245617,C25LTDRD004F (Add),Wayne,x,DIGITAL,ABL Silver,,,,,,,,Repeat,Repeat,,ABL Silver,25,100,,,25A (PP H510_02),25A (11/25),,4,,,,,,,,,,,,,,,,,,5600,WAYNE 21/25,,x,Repeat,,,,,,,,
19938_1,,,,0,,,Dr.Moosa Desai,Dr D Acne Day Cream 30ml,Digital Laminate,C25LTDRD005F (Add),W00245615,C25LTDRD005F (Add),Wayne,x,DIGITAL,ABL Silver,,,,,,,,Repeat,Repeat,,ABL Silver,25,100,,,25A (PP H510_02),25A (11/25),,4,,,,,,,,,,,,,,,,,,5600,Email for Wayne 21/25,,x,Repeat,,,,,,,,
19939_1,,,,0,,,Dr.Moosa Desai,Dr D Blemish Night Cream 30ml,Digital Laminate,C25LTDRD006F (Add),W00245612,C25LTDRD006F (Add),Wayne,x,DIGITAL,ABL Silver,,,,,,,,Repeat,Repeat,,ABL Silver,25,100,,,25A (PP H510_02),25A (11/25),,4,,,,,,,,,,,,,,,,,,5600,Email for Wayne 21/25,,x,Repeat,,,,,,,,
19942_1,,,,0,,,Benwic Investments,Ackermans Rejuvenating Hand Cream 50ml,Digital Laminate,C35LTPLA001F (Add),W00233401,C35LTPLA001F (Add),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,120,,,,,,4,,,,,,,,,,,,,,,,,,1000,65,x,x,Repeat,,,,,,,,
19942_2,,,,0,,,Benwic Investments,Ackermans Rejuvenating Hand Cream 50ml,Digital Laminate,C35LTPLA001F (Add 1),W00233747,C35LTPLA001F (Add 1),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,120,,,,,,4,,,,,,,,,,,,,,,,,,1000,65,x,x,Repeat,,,,,,,,
19946_1,,,,0,,,Sibhale Skin Solutions,Portia M Marula Oil SPF 50 Sunscreen Lotion 100ml,Digital Laminate,C40LTPOR009F (Add),W00237695,C40LTPOR009F (Add),Senate,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,40,120,,,,,,10,,,,,,,,,,,,,,,,,,5900,PO3439,x,x,Repeat,,,,,,,,
19982_1,,,,0,,,Saradox,GS Bee Natural Wild Honey Sh/Butter & Van. Yoghurt 75ml,Digital Laminate,C35LTSAA098F (Add),W00233656,C35LTSAA098F (Add),Wayne,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,35,125,,,33F/T B/O (4mm Orifice) (ADVANCE150),33 F/T B/O,,10,,,,,,,,,,,,,,,,,,11500,PO011223,x,x,Repeat,,,,,,,,
